infinitive,past_simple,past_participle,level,category,description
shoot,shot,shot,Intermediate,Action & Impact,"To 'shoot' is to fire a bullet or arrow. It implies speed, violence, or sport (in games like soccer). It suggests a projectile moving towards a target. It can also mean to film with a camera."
show,showed,shown,Beginner,Communication,"To 'show' is to allow or cause something to be seen. It implies demonstration, proof, or display. It is a key verb for teaching and revealing information. It is the opposite of 'hide'."
shrink,shrank,shrunk,Intermediate,Action & Impact,"To 'shrink' is to become or make smaller in size or amount. It implies reduction, fear (shrinking away), or cleaning accidents (clothes). It suggests a contraction of space or confidence."
shut,shut,shut,Beginner,Action & Impact,"To 'shut' is to move something into position to block an opening. It is a synonym for 'close' but often more abrupt. It implies finality or privacy. It remains unchanged in all forms."
sing,sang,sung,Beginner,Communication,"To 'sing' is to make musical sounds with the voice. It implies melody, joy, or performance. It is a universal human activity. It follows the classic i-a-u vowel shift pattern."
sink,sank,sunk,Intermediate,Movement,"To 'sink' is to go down below the surface of something, especially of a liquid. It implies failing, drowning, or descending. It is the opposite of 'float'. It suggests a loss of buoyancy or hope."
sit,sat,sat,Beginner,Daily Life,"To 'sit' is to be in a position where the weight is supported by the buttocks. It is a basic posture. It implies waiting, resting, or meeting. It contrasts with 'stand'."
slay,slew,slain,Expert,Action & Impact,"To 'slay' is to kill in a violent way. It is archaic or literary, often found in myths (slaying a dragon). Modern usage includes slang ('you slayed that outfit'). It implies dramatic death."
slide,slid,slid,Intermediate,Movement,"To 'slide' is to move along a smooth surface while maintaining continuous contact with it. It implies lack of friction, ease, or loss of control. It can be playful or accidental."
sling,slung,slung,Expert,Action & Impact,"To 'sling' is to throw or hang loosely. It implies a casual throw or a supporting strap. It suggests lack of precision or a specific carrying method (arm in a sling)."
slink,slunk,slunk,Expert,Movement,"To 'slink' is to move smoothly and quietly with gliding steps, in a stealthy or guilty manner. It implies trying to remain unseen. It is often associated with shame or predatory behavior."
slit,slit,slit,Expert,Action & Impact,"To 'slit' is to make a long, narrow cut in something. It implies precision, damage, or opening. It remains unchanged in all forms. It suggests a sharp tool and a specific type of wound or opening."
smell,smelt/smelled,smelt/smelled,Beginner,Daily Life,"To 'smell' is to detect the odor or scent of something. 'Smelt' is common in UK English. It implies using the nose. It can be active (sniffing) or passive (noticing an odor)."
smite,smote,smitten,Expert,Action & Impact,"To 'smite' is to strike with a firm blow. It is biblical or archaic. 'Smitten' is commonly used today to mean 'in love' or 'infatuated'. It implies divine punishment or sudden overpowering emotion."
sow,sowed,sown,Expert,Action & Impact,"To 'sow' is to plant seeds by scattering them on or in the earth. It is an agricultural verb. Metaphorically, it means to spread ideas or feelings ('sow discord'). It implies beginning a growth process."
speed,sped,sped,Intermediate,Movement,"To 'speed' is to move quickly. It implies urgency, fast driving, or progress. 'Sped' is the irregular form indicating fast movement. It suggests high velocity."
spell,spelt/spelled,spelt/spelled,Beginner,Communication,"To 'spell' is to write or name the letters that form a word. 'Spelt' is common in UK English. It implies literacy and accuracy in language. It creates the written form of a word."
spend,spent,spent,Beginner,Daily Life,"To 'spend' is to pay out money or use time. It implies consumption, transaction, and passing of resources. It is a fundamental verb for economics and time management."
spill,spilt/spilled,spilt/spilled,Intermediate,Action & Impact,"To 'spill' is to cause liquid to flow over the edge of its container, usually accidentally. It implies mess, waste, or clumsiness. 'Spilt' is common in UK English. It suggests a lack of control."
spin,spun,spun,Intermediate,Movement,"To 'spin' is to turn or cause to turn or whirl around quickly. It implies rotation, dizziness, or creating thread. It can also mean to distort information ('spin a story'). It suggests circular motion."
spit,spat,spat,Intermediate,Action & Impact,"To 'spit' is to eject saliva forcibly from one's mouth. It implies disgust, disrespect, or clearing the mouth. It is a somewhat taboo or crude action in many contexts."
split,split,split,Intermediate,Action & Impact,"To 'split' is to break or cause to break forcibly into parts. It implies division, sharing ('split the bill'), or separation. It remains unchanged in all forms. It suggests a rupture."
spoil,spoilt/spoiled,spoilt/spoiled,Intermediate,Action & Impact,"To 'spoil' is to diminish or destroy the value or quality of. It can also mean to overindulge a child. It implies ruin, decay (food), or excessive pampering. 'Spoilt' is the UK adjective."
spread,spread,spread,Intermediate,Action & Impact,"To 'spread' is to open out so as to extend its surface area, width, or length. It implies expansion, coverage (butter on toast), or transmission (virus). It remains unchanged. It suggests covering an area."
spring,sprang,sprung,Intermediate,Movement,"To 'spring' is to move or jump suddenly or rapidly upwards or forwards. It implies elasticity, surprise, or water sourcing. It suggests sudden energy release."
stand,stood,stood,Beginner,Daily Life,"To 'stand' is to be in an upright position. It implies stability, waiting, or endurance. It is a basic body posture. It contrasts with 'sit'."
steal,stole,stolen,Beginner,Action & Impact,"To 'steal' is to take another person's property without permission. It implies crime, secrecy, and dishonesty. It is a violation of ownership."
stick,stuck,stuck,Intermediate,Action & Impact,"To 'stick' is to adhere or cling to something. It can also mean to push a sharp object into something. It implies glue, attachment, or persistence ('stick with it')."
sting,stung,stung,Intermediate,Action & Impact,"To 'sting' is to wound with a sharp-pointed organ (like a bee). It implies sudden, sharp pain. Metaphorically, it refers to emotional hurt or betrayal."
stink,stank,stunk,Intermediate,Daily Life,"To 'stink' is to have a strong unpleasant smell. It implies foulness or bad quality. It is a strong sensory verb. Metaphorically, it means a situation is bad."
stride,strode,stridden,Expert,Movement,"To 'stride' is to walk with long, decisive steps. It implies confidence, purpose, or covering distance quickly. It is an energetic form of walking."
strike,struck,struck,Intermediate,Action & Impact,"To 'strike' is to hit forcibly and deliberately. It also means to stop working as a protest. It implies impact, suddenness ('lightning strikes'), or industrial action."
string,strung,strung,Expert,Action & Impact,"To 'string' is to hang something so that it stretches in a long line. It implies threading beads or instruments. It suggests tension and linear arrangement."
strive,strove,striven,Expert,Action & Impact,"To 'strive' is to make great efforts to achieve or obtain something. It implies struggle, ambition, and hard work. It is a formal verb for 'try hard'."
swear,swore,sworn,Intermediate,Communication,"To 'swear' is to make a solemn promise or to use offensive language. It implies intensity, oaths, or anger. It is used in legal contexts (court) and casual arguments."
sweat,sweat/sweated,sweat/sweated,Intermediate,Daily Life,"To 'sweat' is to exude moisture through the pores of the skin due to heat or stress. It implies physical exertion, fear, or hard work. It is a bodily function."
sweep,swept,swept,Beginner,Daily Life,"To 'sweep' is to clean a floor by brushing away dirt. It implies wide, curving movements. It can mean to move swiftly ('swept away'). It is a domestic action."
swell,swelled,swollen,Intermediate,Action & Impact,"To 'swell' is to become larger or rounder in size. It implies injury, inflation, or increase. 'Swollen' is the common adjective. It suggests internal pressure."
swim,swam,swum,Beginner,Movement,"To 'swim' is to propel the body through water. It implies recreation, sport, or survival. It follows the i-a-u pattern. It requires a liquid medium."
swing,swung,swung,Intermediate,Movement,"To 'swing' is to move back and forth or from side to side while suspended. It implies rhythm, pendular motion, or play (playground). It suggests freedom of movement."
take,took,taken,Beginner,Action & Impact,"To 'take' is to reach for and hold; to remove. It implies capturing, accepting, or transporting. It is one of the most common verbs in English."
teach,taught,taught,Beginner,Communication,"To 'teach' is to impart knowledge or skill. It implies instruction, authority, and guidance. It is the role of a teacher/parent."
tear,tore,torn,Intermediate,Action & Impact,"To 'tear' is to pull something apart or to pieces with force. It implies destruction, damage, or ripping. It creates a 'tear' (noun)."
tell,told,told,Beginner,Communication,"To 'tell' is to communicate information to someone. It implies narration, instruction, or revealing facts. It requires a listener."
think,thought,thought,Beginner,Communication,"To 'think' is to have a particular opinion, belief, or idea. It implies mental process, cognition, and reflection. It is the basis of consciousness."
thrive,throve/thrived,thriven/thrived,Expert,Daily Life,"To 'thrive' is to grow or develop well or vigorously. It implies health, success, and prosperity. It is often used in biology or business."
throw,threw,thrown,Beginner,Action & Impact,"To 'throw' is to propel something with force through the air. It implies arm movement, distance, and sports. It is the opposite of 'catch'."
thrust,thrust,thrust,Expert,Action & Impact,"To 'thrust' is to push suddenly or violently. It implies force, aggression, or forward motion. It remains unchanged. It is a dynamic verb."
tread,trod,trodden,Expert,Movement,"To 'tread' is to walk in a specified way or to step on something. It implies crushing, stepping, or footprints. It is literary or specific ('tread carefully')."
understand,understood,understood,Beginner,Communication,"To 'understand' is to perceive the intended meaning. It implies comprehension, empathy, and intelligence. It is the goal of learning."
undertake,undertook,undertaken,Expert,Action & Impact,"To 'undertake' is to commit oneself to and begin (an enterprise or responsibility). It implies accepting a task, a promise, or a job. It is formal."
upset,upset,upset,Intermediate,Communication,"To 'upset' is to make someone unhappy or to knock something over. It implies emotional disturbance or physical disorder. It remains unchanged."
vex,vexed/vext,vexed/vext,Expert,Communication,"To 'vex' is to make someone feel annoyed or frustrated. 'Vext' is the archaic irregular form[cite: 52]. It implies irritation and trouble."
wake,woke,woken,Beginner,Daily Life,"To 'wake' is to stop sleeping. It implies alertness, morning, and consciousness. It is often paired with 'up' (wake up)."
wear,wore,worn,Beginner,Daily Life,"To 'wear' is to have clothing on the body. It implies usage, fashion, and protection. It can also mean damage from use (wear out)."
weave,wove,woven,Expert,Action & Impact,"To 'weave' is to form fabric by interlacing threads. It implies craft, patterns, and structure. Metaphorically, it means to create a story."
wed,wed/wedded,wed/wedded,Expert,Communication,"To 'wed' is to marry. It is a formal or newspaper term. It implies union, ceremony, and commitment. 'Wedded' is used in the phrase 'wedded bliss'."
weep,wept,wept,Expert,Communication,"To 'weep' is to shed tears. It is a more formal or dramatic word for 'cry'. It implies deep sorrow, grief, or mourning."
wend,wended,wended,Expert,Movement,"To 'wend' is to go in a specified direction, typically slowly or by an indirect route. It is archaic, mostly used in 'wend one's way'. It implies a journey."
wet,wet/wetted,wet/wetted,Intermediate,Action & Impact,"To 'wet' is to cover or touch with liquid. It implies moisture, rain, or cleaning. It is the opposite of 'dry'. 'Wet' is the common past form."
win,won,won,Beginner,Action & Impact,"To 'win' is to be successful or victorious. It implies competition, success, and prizes. It is the opposite of 'lose'."
wind,wound,wound,Intermediate,Action & Impact,"To 'wind' is to move in or take a twisting or spiral course. It implies rotation, turning (a clock), or wrapping. It is pronounced with a long 'i'."
withdraw,withdrew,withdrawn,Intermediate,Action & Impact,"To 'withdraw' is to remove or take away. It implies retreating, taking money from a bank, or retracting a statement. It suggests backward movement."
withhold,withheld,withheld,Expert,Action & Impact,"To 'withhold' is to refuse to give something that is due or desired. It implies suppression, secrecy, or retention. It is often used in finance (tax) or law."
withstand,withstood,withstood,Expert,Action & Impact,"To 'withstand' is to remain undamaged or unaffected by. It implies resistance, strength, and endurance. It suggests surviving a force."
wring,wrung,wrung,Expert,Action & Impact,"To 'wring' is to squeeze and twist something to force liquid from it. It implies force, torsion, and drying (wringing a towel). Metaphorically: 'wringing hands' (worry)."
write,wrote,written,Beginner,Communication,"To 'write' is to mark letters on a surface. It implies literacy, authorship, and communication. It is a fundamental skill of civilization."
zinc,zincked,zincked,Expert,Action & Impact,"To 'zinc' is to coat with zinc (galvanize). Included here as it appears in some comprehensive irregular lists[cite: 52], though often treated as regular. It implies industrial protection."
